Nombre,Artista,Genero,Duracion,ocasi—n,Idioma,Ritmo,Fuerte
lo siento bb,bad bunny,regueton,3,fiesta,espanol,0.8,animo
let you go,ry x,alternativa,4,chill,ingles,0.3,ritmo
eden,all we are,alternativa,4,chill,ingles,0.4,voz
reflex,parcels,alternativa,4,chill,ingles,0.2,voz
cachito de galaxia,porter,rock y alternativo,5,cantar,espanol,0.5,voz
cringe,matt maeson,alternativa,4,cantar,ingles,0.4,letra
fue,manuel carrasco,pop latino,4,cantar,espanol,0.3,letra
nostalgico,rauw alejandro,urbano latino,3,fiesta,espanol,0.7,animo
demasiadas mujeres,c tangana,urbano latino,3,cantar,espanol,0.8,ritmo
dakiti,bad bunny,latin,3,fiesta,espanol,0.7,animo
tacones rojos,sebastian yatra,pop latino,3,cantar,espanol,0.6,animo
monaco,lagos,pop latino,3,cantar,espanol,0.7,ritmo
sonambulo,porter,rock y alternativo,4,cantar,espanol,0.5,letra
tides,bonobo,electronic,4,chill,ingles,0.3,ritmo
tu me dejaste de querer,c tangana,urbano latino,3,cantar,espanol,0.7,ritmo
pieces,avaion,electronic,3,correr,ingles,0.6,ritmo
te amo,lmc,dance,3,cantar,ingles,0.6,ritmo
fluye,reyno,rock y alternativo,4,cantar,espanol,0.2,letra
sky and sand,paul kalkbrenner,electronic,4,correr,ingles,0.7,ritmo
time,sg lewis,electronic,4,chill,ingles,0.5,ritmo
dead,porter,rock y alternativo,4,chill,espanol,0.4,voz
all i want,bob moses,electronic,7,chill,ingles,0.5,ritmo
nana,polo y pan,electronic,3,correr,ingles,0.7,ritmo
when this was all new,russ,hip hop/rap,3,cantar,ingles,0.4,animo
contigo,carla morrison,pop latino,4,cantar,espanol,0.2,voz
silent love,enfant sauvage,electronic,4,chill,ingles,0.4,voz
hallucinogenics,matt maeson,electronic,3,cantar,ingles,0.6,ritmo
next to me,rufus du sol,electronic,5,cantar,ingles,0.6,voz
wait,nombe,alternativa,4,cantar,ingles,0.4,ritmo
nightcall,kavinsky,electronic,4,chill,ingles,0.4,ritmo
in return,breakbot,electronic,3,cantar,ingles,0.4,voz
something about us,daft punk,dance,4,chill,ingles,0.3,letra
hoping you changes,two another,alternativa,4,cantar,ingles,0.5,ritmo
alien,dennis loyd,alternativa,2,chill,ingles,0.3,ritmo
cant stop your loving,poolside and panama,electronic,4,chill,ingles,0.6,ritmo
claire and eddie,kings of leon,alternativa,5,chill,ingles,0.4,voz
la china,porter,rock y alternativo,5,cantar,espanol,0.6,voz
brownlow,lapsley,electronic,5,chill,ingles,0.5,voz
pressure,sg lewis,soul,3,chill,ingles,0.6,ritmo
overnight,parcels,alternativa,4,chill,ingles,0.7,ritmo